,is_correct,completion,gold,input n,layernum
0,True,b,b,0,16
1,True,i,i,1,18
2,True,h,h,2,18
3,True,l,l,3,16
4,True,j,j,4,18
5,True,f,f,5,18
6,True,e,e,6,18
7,True,m,m,7,18
8,True,g,g,8,18
9,True,k,k,9,16
10,True,a,a,10,10
11,True,c,c,11,16
12,True,d,d,12,12
13,True,d,d,13,12
14,True,d,d,14,12
15,True,d,d,15,14
16,True,d,d,16,15
17,True,d,d,17,12
18,True,d,d,18,12
19,True,d,d,19,12
20,True,d,d,20,12
21,True,d,d,21,12
22,True,d,d,22,12
23,True,d,d,23,12
24,True,d,d,24,12
25,True,d,d,25,12
26,True,d,d,26,15
27,True,d,d,27,12
28,True,d,d,28,12
29,True,d,d,29,12
30,True,d,d,30,12
31,True,d,d,31,12
32,True,d,d,32,12
33,True,d,d,33,12
34,True,d,d,34,12
35,True,d,d,35,12
36,True,d,d,36,12
37,True,d,d,37,12
38,False,l,d,38,18
39,True,d,d,39,12
40,False,j,d,40,18
41,False,j,d,41,18
42,False,j,d,42,18
43,False,j,d,43,18
44,True,d,d,44,12
45,True,d,d,45,12
46,False,e,d,46,21
47,False,j,d,47,18
48,False,j,d,48,18
49,False,j,d,49,18
