,prompt_seed,is_correct,completion,gold,input n,layernum
0,0,True_First,l,d,38,18
1,0,True_First,j,d,40,18
2,0,True_First,j,d,41,18
3,0,True_First,j,d,42,18
4,0,True_First,j,d,43,18
5,0,True_Last,e,d,46,21
6,0,True_First,j,d,47,18
7,0,True_First,j,d,48,18
8,0,True_First,j,d,49,18
9,1,True_First,h,k,31,18
10,1,True_First,h,k,35,18
11,1,True_First,h,k,36,18
12,1,True_First,h,k,38,18
13,1,True_First,h,k,39,18
14,1,True_First,j,k,40,18
15,1,True_First,j,k,41,18
16,1,True_First,j,k,42,18
17,1,True_First,j,k,43,18
18,1,True_First,j,k,46,18
19,1,True_First,j,k,47,18
20,1,True_First,j,k,48,18
21,1,True_First,j,k,49,18
22,2,False,a,b,18,10
23,2,False,a,b,31,10
24,2,True_First,l,b,35,18
25,2,False,a,b,36,10
26,2,True_First,l,b,37,18
27,2,True_First,l,b,38,18
28,2,True_First,l,b,39,18
29,2,True_First,i,b,41,19
30,2,True_First,i,b,42,18
31,2,True_Last,l,b,43,18
32,2,True_First,i,b,46,19
33,2,True_First,i,b,47,19
34,2,True_First,i,b,48,18
35,2,True_First,i,b,49,18
36,3,False,a,g,26,10
37,3,True_First,e,g,38,18
38,3,True_First,e,g,39,18
39,3,True_First,l,g,40,18
40,3,True_First,l,g,41,17
41,3,True_First,l,g,42,17
42,3,True_First,l,g,43,18
43,3,True_First,l,g,46,17
44,3,True_First,l,g,48,18
45,3,False,a,g,49,10
46,4,False,m,k,18,18
47,4,False,m,k,19,18
48,4,False,m,k,27,18
49,4,False,m,k,28,21
50,4,False,m,k,29,21
51,4,True_First,d,k,31,17
52,4,True_First,d,k,32,12
53,4,True_First,d,k,36,12
54,4,True_First,d,k,38,12
55,4,True_First,i,k,41,18
56,4,True_First,i,k,42,18
57,4,True_First,i,k,43,18
58,4,True_First,i,k,44,18
59,4,True_First,i,k,46,18
60,4,True_First,i,k,47,18
61,4,True_First,i,k,48,18
62,4,True_First,i,k,49,18
